,Age,workclass,fnlwgt,education num,marital-status,Occuption,race,sex,capital gain,capital loss,hours per week,native country,revenue
0,39,1,77516,13,4,0,0,1,2174,0,40,1,0
1,50,5,83311,13,2,3,0,1,0,0,13,0,0
2,38,3,215646,9,0,5,0,1,0,0,40,0,0
3,53,3,234721,7,2,5,3,1,0,0,40,0,0
4,28,3,338409,13,2,9,3,0,0,0,40,1,0
5,37,3,284582,14,2,3,0,0,0,0,40,0,0
6,49,3,160187,5,3,7,3,0,0,0,16,2,0
7,52,5,209642,9,2,3,0,1,0,0,45,0,1
8,31,3,45781,14,4,9,0,0,14084,0,50,0,1
9,42,3,159449,13,2,3,0,1,5178,0,40,0,1
10,37,3,280464,10,2,3,3,1,0,0,80,0,1
11,30,1,141297,13,2,9,1,1,0,0,40,3,1
12,23,3,122272,13,4,0,0,0,0,0,30,0,0
13,32,3,205019,12,4,11,3,1,0,0,50,0,0
14,34,3,245487,4,2,13,2,1,0,0,45,4,0
15,25,5,176756,9,4,4,0,1,0,0,35,0,0
16,32,3,186824,9,4,6,0,1,0,0,40,0,0
17,38,3,28887,7,2,11,0,1,0,0,50,0,0
18,43,5,292175,14,0,3,0,0,0,0,45,0,1
19,40,3,193524,16,2,9,0,1,0,0,60,0,1
20,54,3,302146,9,5,7,3,0,0,0,20,0,0
21,35,0,76845,5,2,4,3,1,0,0,40,0,0
22,43,3,117037,7,2,13,0,1,0,2042,40,0,0
23,59,3,109015,9,0,12,0,0,0,0,40,0,0
24,56,2,216851,13,2,12,0,1,0,0,40,0,1
25,19,3,168294,9,4,2,0,1,0,0,40,0,0
26,39,3,367260,9,0,3,0,1,0,0,80,0,0
27,49,3,193366,9,2,2,0,1,0,0,40,0,0
28,23,2,190709,12,4,10,0,1,0,0,52,0,0
29,20,3,266015,10,4,11,3,1,0,0,44,0,0
30,45,3,386940,13,0,3,0,1,0,1408,40,0,0
31,30,0,59951,10,2,0,0,1,0,0,40,0,0
32,22,1,311512,10,2,7,3,1,0,0,15,0,0
33,48,3,242406,7,4,6,0,1,0,0,40,5,0
34,21,3,197200,10,4,6,0,1,0,0,40,0,0
